node,degree,eig,parcel_name,network
0,63.0,0.06861584462825651,Parcel_0,unknown
1,61.0,0.06521106160292797,LH_Vis_1,Visual
2,63.0,0.06611034682229822,LH_Vis_2,Visual
3,82.0,0.09100253469851935,LH_Vis_3,Visual
4,69.0,0.06058443131948364,LH_Vis_4,Visual
5,58.0,0.06226732609703234,LH_Vis_5,Visual
6,71.0,0.07027585997533631,LH_Vis_6,Visual
7,93.0,0.10201071323041362,LH_Vis_7,Visual
8,71.0,0.06730063539325591,LH_Vis_8,Visual
9,77.0,0.07930148508765057,LH_Vis_9,Visual
10,65.0,0.06841969764183917,LH_Vis_10,Visual
11,82.0,0.08747180852572799,LH_Vis_11,Visual
12,69.0,0.07500173916072589,LH_Vis_12,Visual
13,61.0,0.06658865943902242,LH_Vis_13,Visual
14,56.0,0.061677822966360284,LH_Vis_14,Visual
15,70.0,0.07533189892861636,LH_Vis_15,Visual
16,65.0,0.07107280965337374,LH_Vis_16,Visual
17,74.0,0.07937493959195482,LH_Vis_17,Visual
18,81.0,0.08698517032416112,LH_Vis_18,Visual
19,57.0,0.060339594105416054,LH_Vis_19,Visual
20,70.0,0.07683775637874972,LH_Vis_20,Visual
21,64.0,0.0699766302503445,LH_SomMot_1,Somatomotor
22,77.0,0.08263934979655671,LH_SomMot_2,Somatomotor
23,72.0,0.07662025124315243,LH_SomMot_3,Somatomotor
24,59.0,0.06324193944304397,LH_SomMot_4,Somatomotor
25,65.0,0.0692994662559969,LH_SomMot_5,Somatomotor
26,100.0,0.1084021981880789,LH_SomMot_6,Somatomotor
27,71.0,0.07655395080079633,LH_SomMot_7,Somatomotor
28,78.0,0.0833586796931685,LH_SomMot_8,Somatomotor
29,44.0,0.04673594360486377,LH_SomMot_9,Somatomotor
30,72.0,0.07222337196276227,LH_SomMot_10,Somatomotor
31,74.0,0.07441958476430326,LH_SomMot_11,Somatomotor
32,84.0,0.08553481242184098,LH_SomMot_12,Somatomotor
33,67.0,0.07074942931361126,LH_SomMot_13,Somatomotor
34,63.0,0.06868445130991929,LH_SomMot_14,Somatomotor
35,65.0,0.06570204834942091,LH_SomMot_15,Somatomotor
36,83.0,0.08642513994102029,LH_SomMot_16,Somatomotor
37,66.0,0.06952280161364245,LH_SomMot_17,Somatomotor
38,103.0,0.10708455882462928,LH_SomMot_18,Somatomotor
39,106.0,0.11380401630487881,LH_SomMot_19,Somatomotor
40,71.0,0.0760378685161733,LH_SomMot_20,Somatomotor
41,55.0,0.05129397851059395,LH_DorsAttn_1,DorsalAttn
42,71.0,0.07056047162056611,LH_DorsAttn_2,DorsalAttn
43,84.0,0.08661191655552188,LH_DorsAttn_3,DorsalAttn
44,68.0,0.07225963747067166,LH_DorsAttn_4,DorsalAttn
45,64.0,0.06326718130095306,LH_DorsAttn_5,DorsalAttn
46,71.0,0.074598579555299,LH_DorsAttn_6,DorsalAttn
47,60.0,0.061345708051576096,LH_DorsAttn_7,DorsalAttn
48,55.0,0.058203369624111954,LH_DorsAttn_8,DorsalAttn
49,65.0,0.0648703558178068,LH_DorsAttn_9,DorsalAttn
50,69.0,0.06555768044518107,LH_DorsAttn_10,DorsalAttn
51,69.0,0.07210742070859723,LH_DorsAttn_11,DorsalAttn
52,99.0,0.10486683305186714,LH_DorsAttn_12,DorsalAttn
53,62.0,0.06381018626502376,LH_DorsAttn_13,DorsalAttn
54,65.0,0.05819028673687304,LH_DorsAttn_14,DorsalAttn
55,59.0,0.0495785042384445,LH_DorsAttn_15,DorsalAttn
56,73.0,0.07218806739138872,LH_DorsAttn_16,DorsalAttn
57,75.0,0.07070948611300285,LH_DorsAttn_17,DorsalAttn
58,58.0,0.052464539530852755,LH_DorsAttn_18,DorsalAttn
59,69.0,0.064558722931624,LH_DorsAttn_19,DorsalAttn
60,66.0,0.055216530026913326,LH_DorsAttn_20,DorsalAttn
61,69.0,0.06233152898150244,LH_SalVentAttn_1,Salience
